"Ux","Uy","Cp","Points:0","Points:1","Points:2"
1.0512,-0.037803,-0.10641,0.7,0.0875,0
1.0392,-0.029005,-0.080717,0.7,0.16563,0
1.0287,-0.020522,-0.058729,0.7,0.26328,0
1.0203,-0.013362,-0.041099,0.7,0.38535,0
1.0137,-0.008053,-0.027617,0.7,0.53794,0
1.0088,-0.004549,-0.01772,0.7,0.72867,0
1.0053,-0.002456,-0.010734,0.7,0.96709,0
1.003,-0.001309,-0.005945,0.7,1.2651,0
1.0013,-0.000749,-0.00263,0.7,1.6376,0
1,0,0,0.7,2.1033,0
1.0688,-0.0625,-0.14614,0.75,-0.025,0
1.0563,-0.057006,-0.11892,0.75,0.025,0
1.0441,-0.046345,-0.092312,0.75,0.0875,0
1.0334,-0.035043,-0.069155,0.75,0.16563,0
1.0246,-0.024512,-0.050493,0.75,0.26328,0
1.0177,-0.015885,-0.035975,0.75,0.38535,0
1.0123,-0.009597,-0.024792,0.75,0.53794,0
1.0081,-0.005462,-0.016315,0.75,0.72867,0
1.005,-0.002976,-0.010094,0.75,0.96709,0
1.0028,-0.001601,-0.005677,0.75,1.2651,0
1.0013,-0.000922,-0.002536,0.75,1.6376,0
1,0,0,0.75,2.1033,0
1.0586,-0.075,-0.12624,0.8,-0.025,0
1.0461,-0.067789,-0.098899,0.8,0.025,0
1.035,-0.054051,-0.074145,0.8,0.0875,0
1.0263,-0.04008,-0.05489,0.8,0.16563,0
1.0198,-0.027668,-0.040748,0.8,0.26328,0
1.0148,-0.017865,-0.030072,0.8,0.38535,0
1.0107,-0.010847,-0.021565,0.8,0.53794,0
1.0073,-0.006237,-0.014703,0.8,0.72867,0
1.0047,-0.00344,-0.009351,0.8,0.96709,0
1.0027,-0.00187,-0.005362,0.8,1.2651,0
1.0012,-0.001087,-0.002424,0.8,1.6376,0
1,0,0,0.8,2.1033,0
1.0452,-0.0875,-0.1001,0.85,-0.025,0
1.0327,-0.077976,-0.072552,0.85,0.025,0
1.0235,-0.060421,-0.051286,0.85,0.0875,0
1.0179,-0.043692,-0.038051,0.85,0.16563,0
1.0144,-0.029759,-0.029834,0.85,0.26328,0
1.0116,-0.019208,-0.023641,0.85,0.38535,0
1.0089,-0.01177,-0.018066,0.85,0.53794,0
1.0064,-0.006862,-0.012937,0.85,0.72867,0
1.0042,-0.003839,-0.008524,0.85,0.96709,0
1.0025,-0.002115,-0.005006,0.85,1.2651,0
1.0011,-0.001241,-0.002296,0.85,1.6376,0
1,0,0,0.85,2.1033,0
1.0272,-0.1,-0.065172,0.9,-0.025,0
1.0147,-0.087042,-0.037224,0.9,0.025,0
1.0094,-0.064569,-0.023125,0.9,0.0875,0
1.0085,-0.045296,-0.019138,0.9,0.16563,0
1.0086,-0.030554,-0.018297,0.9,0.26328,0
1.0083,-0.019848,-0.017001,0.9,0.38535,0
1.0071,-0.012346,-0.014442,0.9,0.53794,0
1.0055,-0.007328,-0.011079,0.9,0.72867,0
1.0038,-0.004172,-0.007637,0.9,0.96709,0
1.0023,-0.002332,-0.004617,0.9,1.2651,0
1.0011,-0.001385,-0.002154,0.9,1.6376,0
1,0,0,0.9,2.1033,0
1.0019,-0.1125,-0.01641,0.95,-0.025,0
0.98937,-0.093782,0.012342,0.95,0.025,0
0.99274,-0.064836,0.010259,0.95,0.0875,0
0.99873,-0.044141,0.000598,0.95,0.16563,0
1.003,-0.029867,-0.006939,0.95,0.26328,0
1.005,-0.019763,-0.010517,0.95,0.38535,0
1.0053,-0.012577,-0.010845,0.95,0.53794,0
1.0046,-0.007635,-0.009188,0.95,0.72867,0
