VARIABLES = "X", "Y", "Ux", "Uy", "Cp" 
ZONE I=12, J=41, F=POINT
1.512939 0.537939 0.996873 -0.004412 0.006225
1.512939 0.728674 0.998281 -0.003943 0.003420
1.512939 0.967093 0.999280 -0.003151 0.001430
1.512939 1.265116 0.999824 -0.002318 0.000347
1.512939 1.637645 1.000011 -0.001690 -0.000025
1.512939 2.103306 1.000000 0.000000 0.000000
1.703674 -0.025000 0.994226 0.000287 0.011515
1.703674 0.025000 0.994226 -0.000287 0.011515
1.703674 0.087500 0.994329 -0.000859 0.011309
1.703674 0.165625 0.994603 -0.001509 0.010762
1.703674 0.263281 0.995117 -0.002168 0.009737
1.703674 0.385352 0.995897 -0.002712 0.008181
1.703674 0.537939 0.996883 -0.002999 0.006216
1.703674 0.728674 0.997918 -0.002944 0.004151
1.703674 0.967093 0.998816 -0.002581 0.002360
1.703674 1.265116 0.999449 -0.002065 0.001096
1.703674 1.637645 0.999811 -0.001609 0.000375
1.703674 2.103306 1.000000 0.000000 0.000000
1.942093 -0.025000 0.995824 0.000151 0.008335
1.942093 0.025000 0.995824 -0.000151 0.008335
1.942093 0.087500 0.995868 -0.000457 0.008248
1.942093 0.165625 0.995988 -0.000817 0.008008
1.942093 0.263281 0.996224 -0.001212 0.007536
1.942093 0.385352 0.996614 -0.001593 0.006757
1.942093 0.537939 0.997169 -0.001886 0.005650
1.942093 0.728674 0.997845 -0.002010 0.004301
1.942093 0.967093 0.998546 -0.001926 0.002902
1.942093 1.265116 0.999162 -0.001681 0.001672
1.942093 1.637645 0.999634 -0.001408 0.000730
1.942093 2.103306 1.000000 0.000000 0.000000
2.240116 -0.025000 0.996861 0.000077 0.006269
2.240116 0.025000 0.996861 -0.000077 0.006269
2.240116 0.087500 0.996880 -0.000233 0.006229
2.240116 0.165625 0.996936 -0.000421 0.006119
2.240116 0.263281 0.997047 -0.000637 0.005896
2.240116 0.385352 0.997242 -0.000866 0.005507
2.240116 0.537939 0.997544 -0.001076 0.004906
2.240116 0.728674 0.997958 -0.001222 0.004079
2.240116 0.967093 0.998459 -0.001264 0.003078
2.240116 1.265116 0.998992 -0.001195 0.002013
2.240116 1.637645 0.999505 -0.001073 0.000989
2.240116 2.103306 1.000000 0.000000 0.000000
2.612645 -0.025000 0.997472 0.000033 0.005050
2.612645 0.025000 0.997472 -0.000033 0.005050
2.612645 0.087500 0.997482 -0.000099 0.005030
2.612645 0.165625 0.997511 -0.000180 0.004972
2.612645 0.263281 0.997570 -0.000276 0.004853
2.612645 0.385352 0.997678 -0.000382 0.004639
2.612645 0.537939 0.997854 -0.000489 0.004287
2.612645 0.728674 0.998119 -0.000580 0.003759
2.612645 0.967093 0.998480 -0.000632 0.003037
2.612645 1.265116 0.998927 -0.000635 0.002144
2.612645 1.637645 0.999436 -0.000602 0.001128
2.612645 2.103306 1.000000 0.000000 0.000000
3.078306 -0.025000 1.000000 -0.000000 0.000000
3.078306 0.025000 1.000000 0.000000 0.000000
3.078306 0.087500 1.000000 0.000000 0.000000
3.078306 0.165625 1.000000 0.000000 0.000000
3.078306 0.263281 1.000000 0.000000 0.000000
3.078306 0.385352 1.000000 0.000000 0.000000
3.078306 0.537939 1.000000 0.000000 0.000000
3.078306 0.728674 1.000000 0.000000 0.000000
3.078306 0.967093 1.000000 0.000000 0.000000
3.078306 1.265116 1.000000 0.000000 0.000000
3.078306 1.637645 1.000000 0.000000 0.000000
3.078306 2.103306 1.000000 0.000000 0.000000
